#First there are the 12 "A" units, then the "B"
x (mm)		y			z			Xzangle	Xyangle
-9516.4 	4263.5 		-5774.6 	-37.40 	-160.0 
-9516.4 	4263.5 		5774.6 		37.40 	-160.0 
-6148.9 	8422.0 		-5774.6 	-37.40 	-122.0 
-6148.9 	8422.0 		5774.6 		37.40 	-122.0 
2546.3 		10112.2 	-5774.6 	-37.40 	-80.0 
2546.3 		10112.2 	5774.6 		37.40 	-80.0 
7896.9 		10563.3 	-1685.0 	-10.90 	-41.5 
7896.9 		10563.3 	1685.0 		10.90 	-41.5 
11279.0 	-6835.9 	-1685.0 	-10.90 	19.5 
11279.0 	-6835.9 	1685.0 		10.90 	19.5 
-2546.3 	-10112.2 	-5774.6 	-37.40 	100.0 
-2546.3 	-10112.2 	5774.6 		37.40 	100.0 
-9816.5 	4372.8 		-5326.8 	-33.60 	-160.0 
-9816.5 	4372.8 		5326.8 		33.60 	-160.0 
-6318.2 	8692.8 		-5326.8 	-33.60 	-122.0 
-6318.2 	8692.8 		5326.8 		33.60 	-122.0 
2601.7 		10426.7 	-5326.8 	-33.60 	-80.0 
2601.7 		10426.7 	5326.8 		33.60 	-80.0 
7961.4 		10620.4 	-1141.8 	-7.10 	-41.5 
7961.4 		10620.4 	1141.8 		7.10 	-41.5 
11360.1 	-6864.6 	-1141.8 	-7.10 	19.5 
11360.1 	-6864.6 	1141.8 		7.10 	19.5 
-2601.7 	-10426.7 	-5326.8 	-33.60 	100.0 
-2601.7 	-10426.7 	5326.8 		33.60 	100.0 
